id,name,url,regular_price,promo_price,brand
608735210,"Вино Ведерниковъ Красностоп красное сухое, 0.75л",/products/vino-vedernikov-krasnostop-krasnoe-suhoe-075l,4299,4299,ВЕДЕРНИКОВЪ
605540862,"Вино Vieux Papes розовое сухое, 0.75л",/products/vino-vieux-papes-rozovoe-suhoe-075l,699,559.2,VIEUX PAPES
378331,"Вино Querciabella Chianti Classico красное сухое, 0.375л",/products/art_538705,2099,2099,QUERCIABELLA
553121,"Вино La Sastreria красное сухое, 0.75л",/products/la-sastreria-krasnoe-suhoe-075-l,869,559.01,LA SASTRERIA
585078,"Вино La Sastreria белое сухое, 0.75л",/products/vino-la-sastreria-beloe-suhoe-075-l,869,559.01,LA SASTRERIA
585028,"Вино La Sastreria розовое сухое, 0.75л",/products/vino-la-sastreria-rozovoe-suhoe-075-l,869,559.01,LA SASTRERIA
547980,"Вино Graziano Pra Morandina Ripasso красное сухое, 0.75л",/products/pra-morandina-valpolicella-superiore-doc-krasnoe-suhoe-075-l,3199,3199,PRA
567150,"Вино Mar De Frades белое сухое, 0.75л",/products/mar-de-frades-beloe-suhoe-075-l-78651,2399,1899,MAR DE FRADES
525710,"Вино Badet Clement Les Jamelles Pinot Noir красное сухое, 0.75л",/products/art_648326,1639,1639,BADET CLEMENT
140241,"Вино Torres San Valentin белое полусухое, 0.75л",/products/san-valentin-parellada-075-l,1099,879.2,TORRES
493260840,"Вино Moncaro Fondiglie Verdicchio белое полусухое, 0.75л",/products/075l-vino-monkaro-fondile-verd-bl-psh,769,615.2,MONCARO
534952,"Вино Массандра красное полусладкое, 0.75л",/products/massandra-kaberne-krasnoe-polusladkoe-075-l,429,429,МАССАНДРА
607377297,"Вино Chateau Beauvillage Medoc Cru Bourgeois красное сухое, 0.75л",/products/075l-vino-shato-bovillyazh-medok-kryu-burzhua-kr-sh-239322,1699,1699,CHATEAU BEAUVILLAGE
519373,"Вино Predella Chianti красное сухое, 1.5л",/products/wine-italy-chianti-predella-krasnoe-suhoe-15l,1499,1499,PREDELLA
625952,"Вино Chateau Mukhrani Saperavi Superior красное сухое, 0.75л",/products/075-shato-muhrani-saperavi-syup-kr-sh,1799,1499,CHATEAU MUKHRANI
249838,"Вино Di Lenardo Pinot Grigio белое сухое, 0.75л",/products/di-lenardo-pinot-grigio-beloe-suhoe-075-l-516235,1519,1199,DI LENARDO
427339,"Вино Italo Cescon Storia E Vini Pinot Grigio белое,сухое, 0.75л",/products/italo-cescon-pinot-grigio-beloe-suhoe-075-l,1999,1599.2,ITALO CESCON
544352,"Вино Codorniu Nuviana Chardonnay белое сухое, 0.75л",/products/nuviana-chardonnay-beloe-suhoe-075-l-59285,729,583.2,NUVIANA
546859,"Вино Cantina Cellaro Luma Grillo белое сухое, 0.75л",/products/luma-grillo-beloe-suhoe-075-l-108996,1869,1495.2,CANTINA CELLARO
483731216,"Вино Vieux Papes красное сухое, 0.75л",/products/075l-vino-vyu-peyps-kr-sh,699,699,VIEUX PAPES
403128,"Вино San Andrea Rosso красное полусладкое, 0.75л",/products/botter-san-andrea-rosso-krasnoe-polusladkoe-075-l-558071,699,699,SAN ANDREA
402347,"Вино San Andrea Bianco белое полусладкое, 0.75л",/products/botter-san-andrea-bianco-beloe-polusladkoe-075-l-558072,699,559.2,SAN ANDREA
532601,"Вино Masi Campofiorin красное сухое, 0.75л",/products/masi-campofiorin-krasnoe-suhoe-075-l,2599,1699,MASI
550644,"Вино Joseph Verdier Cuvee Speciale Blanc белое полусладкое, 0.75л",/products/kyuve-spesal-verdye-beloe-polusladkoe-075-l,799,639.2,JOSEPH VERDIER
176767,"Вино Alamos Chardonnay белое сухое, 0.75л",/products/alamos-chardonnay-beloe-suhoe-075-l,1479,1183.2,ALAMOS
483731221,"Вино Chateau Montlabert St Emilion Grand Cru красное сухое, 0.75л",/products/vino-chateau-la-croix-montlabert-krasnoe-sukhoe-0-75l,2999,2999,CHATEAU MONTLABERT
142469,"Вино Torres Ibericos красное сухое, 0.75л",/products/torres-iberiko-krasnoe-suhoe-075-l-354946,1899,1499,TORRES
560305475,"Вино Delecto Verdejo Seleccion белое сухое, 0.75л",/products/075l-vino-delekto-verdeho-seleksion-bl-sh-218804,699,559.2,DELECTO
519042,"Вино Claroscuro Chardonnay белое сухое, 0.75л",/products/claroscuro-chardonnay-2018-beloe-suhoe-0-75-l,1269,1015.2,CLAROSCURO
560305200,"Вино Chateau Tamagne Eno Мерло-Анчелотта красное сухое, 0.75л",/products/075l-vino-eno-kr-sh,,299,CHATEAU TAMAGNE
560305195,"Вино Chateau Tamagne Eno Мускат-Пино Гриджио белое сухое, 0.75л",/products/075l-vino-eno-bl-sh,,299,CHATEAU TAMAGNE
402354,"Вино Codici Puglia Bianco белое полусухое, 0.75л",/products/codici-puglia-bianco-beloe-polusuhoe-075-l-558106,759,607.2,CODICI
413580364,"Вино Rooiberg Winery Chenin Blanc белое сухое, 0.75л",/products/075l-vino-ruiberg-shenen-blan-bl-sh,799,639.2,ROOIBERG
475750,"Вино Antano Tempranillo Rioja DOC красное сухое, 0.187л",/products/antan-039o-krasnoe-suhoe-0187ml,359,359,ANTANO
604940079,"Вино Kopke Porto портвейн 20 лет в подарочной упаковке, 0.75л",/products/vino-kopke-porto-portveyn-20-let-v-podarochnoy-upakovke-075l,6719,6719,KOPKE
217260,"Вино Fanagoria Авторское вино Каберне-Саперави красное сухое, 0.75л",/products/avtorskoe-fanagoriya-kaberne-saperavi-075-l,429,349,FANAGORIA
494380,"Вино Tombacco Pecorino Terre di Chieti белое полусухое, 0.75л",/products/art_623170,1249,999.2,TOMBACCO
531826,"Вино Vogue Grillo красное сухое, 0.75л",/products/vyderzhannoe-grillo-krasnoe-suhoe-075-l,5999,5999,GRILLO
176682,"Вино Montefusco Nero красное сухое, 0.75л",/products/marchese-montefusco-nero-d-039avola-krasnoe-suhoe-075-l,1229,1229,MONTEFUSCO
576051,"Вино Mucho Mas красное сухое, 3л",/products/mucho-mas-tempranillo-krasnoe-suhoe-3-l,2999,2999,MUCHO MAS
600733772,"Вино GreenLife Sauvignon Blanc белое сухое, 0.75л",/products/075l-vino-grinlayf-sovinon-blan-bl-sh,1499,1199.2,GREENLIFE
268941930,"Вино Alma Valley Локантита Селект белое сухое, 0.75л",/products/075l-vino-av-lokantita-selekt-bl-sh,699,549,ALMA VALLEY
2278804,"Вино Yasmin Vino Verde розовое полусухое, 0.75л",/products/vino-yasmin-vino-verde-rozovoe-polusuhoe-075l,999,799,YASMIN
577414,"Вино Campelo Vinho Verde розовое сухое, 0.75л",/products/vino-campelo-vinho-verde-rozovoe-suhoe-075-l,809,647.2,CAMPELO
581381,"Вино Primitivo Puglia Luccarelli красное полусухое, 0.75л",/products/vino-primitivo-puglia-luccarelli-krasnoe-polusuhoe-075-l-106231,1879,1879,LUCCARELLI
366949,"Вино Cusumano Syrah Terre Siciliane красное сухое, 0.75л",/products/cusumano-syrah-krasnoe-suhoe-075-l,1449,1449,CUSUMANO
549925,"Вино Tierra de Toros Organic сухое красное, 1.5л",/products/art_663954,1699,1699,TIERRA DE TOROS
604934622,"Вино Сикоры Совиньон блан белое сухое, 0.75л",/products/vino-sikory-sovinyon-blan-beloe-suhoe-075l-231736,1199,959.2,СИКОРЫ
205690,"Вино Herederos del Marques De Riscal Reserva красное сухое, 0.75л",/products/vino-erederos-del-markes-de-riskal-reserva-075-l,3399,2699,MARQUES DE RISCAL
579167,"Вино Golan Heights Winery Hermon Mount Hermon белое сухое, 0.75л",/products/hermon-mount-white-beloe-suhoe-075-l,2499,1999,GOLAN HEIGHTS
493357505,"Вино Esse Saperavi Heaven красное сухое, 0.75л",/products/075l-vino-ecce-saperavi-heven-kr-sh,1249,1249,ESSE
369005408,"Вино Cusumano Lucido Sicilia DOC белое сухое, 0.75л",/products/075l-vino-kuzumano-luchido-sitsiliya-bl-sh,1449,1449,CUSUMANO
144925,"Вино Cusumano Nero D'Avola Sicilia красное сухое, 0.75л",/products/cusumano-nero-d-rsquoavola-krasnoe-suhoe-075-l,1529,1529,CUSUMANO
573047,"Вино Auramadre Primitivo красное полусухое, 0.75л",/products/auramadre-primitivo-krasnoe-polusuhoe-075-l,1499,1499,AURAMADRE
421835,"Вино Винодельня Ведерниковъ Ркацители белое сухое, 0.75л",/products/vinodelnya-vedernikov-gubernatorskoe-rkaciteli-beloe-suhoe-075-l,739,591.2,ВИНОДЕЛЬНЯ ВЕДЕРНИКОВЪ
576781,"Вино La Piuma Orvieto Classico белое сухое, 3л",/products/la-piuma-orvieto-classico-beloe-suhoe-3-l,3199,2559.2,LA PIUMA
569467,"Вино La Piuma Pecorino белое сухое, 3л",/products/beloe-suhoe-la-puma-pecorino-3-l,3199,2559.2,LA PIUMA
530410,"Вино Les Celliers Jean D'alibert Le Grand Noir Chardonnay белое сухое, 0.75л",/products/le-grand-noir-chardonnay-beloe-suhoe-075-l-644254,1099,879.2,LES CELLIERS JEAN D'ALIBERT
550975,"Вино Nuviana Tempranillo-Cabernet Sauvignon красное сухое, 0.75л",/products/conde-otinano-nuviana-reserva-krasnoe-suhoe-075-l-405828,729,729,NUVIANA
393282,"Вино Luigi Bosca Malbec красное сухое, 0.75л",/products/luigi-bosca-malbec-krasnoe-suhoe-075-l,1999,1599,LUIGI BOSCA
492086541,"Вино Prototype Zinfandel красное сухое, 0.75л",/products/075l-vino-prototip-zinfandel-kr-sh,1479,1479,PROTOTYPE
299556229,"Вино Tristoria Аппеласьон Совиньон Блан-Шардоне белое сухое, 0.75л",/products/075l-vino-tristoriya-appelason-svbl-shard-bl-sh,769,599,TRISTORIA
549964,"Вино Joseph Verdier Cuvee Speciale красное сухое, 0.75л",/products/art_662910,799,799,JOSEPH VERDIER
501989328,"Вино Marani Saperavi красное сухое, 0.75л",/products/075l-vino-saperavi-marani-kr-sh,679,679,MARANI
